Report Category,Geographic Subdivision,School Name,Category,Cohort Year,Cohort,# Total Cohort,# Grads,% Grads,# Total Regents,% Total Regents of Cohort,% Total Regents of Grads,# Advanced Regents,% Advanced Regents of Cohort,% Advanced Regents of Grads,# Regents without Advanced,% Regents without Advanced of Cohort,% Regents without Advanced of Grads,# Local,% Local of Cohort,% Local of Grads,# Still Enrolled,% Still Enrolled,# Dropout,% Dropout,# SACC (IEP Diploma),% SACC (IEP Diploma) of Cohort,# TASC (GED),% TASC (GED) of Cohort
Citywide,Citywide,,All Students,2019,4 year August,69893,58503,83.7,58295,83.4,99.6,18666,26.7,31.9,39629,56.7,67.7,208,0.3,0.4,6773,9.7,3748,5.4,260,0.4,569,0.8
Citywide,Citywide,,All Students,2018,4 year August,70912,59374,83.7,59110,83.4,99.6,24715,34.9,41.6,34395,48.5,57.9,264,0.4,0.4,6808,9.6,3831,5.4,322,0.5,547,0.8
Citywide,Citywide,,All Students,2017,4 year August,72663,60055,82.6,59683,82.1,99.4,26735,36.8,44.5,32948,45.3,54.9,372,0.5,0.6,8225,11.3,3545,4.9,227,0.3,566,0.8
Citywide,Citywide,,All Students,2016,4 year August,73565,58704,79.8,57734,78.5,98.3,22657,30.8,38.6,35077,47.7,59.8,970,1.3,1.7,9385,12.8,4338,5.9,269,0.4,852,1.2
Citywide,Citywide,,All Students,2015,4 year August,73772,57035,77.3,51848,70.3,90.9,15604,21.2,27.4,36244,49.1,63.5,5187,7,9.1,9979,13.5,5745,7.8,317,0.4,692,0.9
Citywide,Citywide,,All Students,2014,4 year August,74948,56923,75.9,52159,69.6,91.6,15658,20.9,27.5,36501,48.7,64.1,4764,6.4,8.4,11398,15.2,5614,7.5,351,0.5,653,0.9
Citywide,Citywide,,All Students,2013,4 year August,73154,54324,74.3,50271,68.7,92.5,14759,20.2,27.2,35512,48.5,65.4,4053,5.5,7.5,11991,16.4,5734,7.8,428,0.6,569,0.8
Citywide,Citywide,,All Students,2012,4 year August,74172,54161,73,50580,68.2,93.4,13809,18.6,25.5,36771,49.6,67.9,3581,4.8,6.6,12603,17,6270,8.5,467,0.6,482,0.6
Citywide,Citywide,,All Students,2019,4 year June,69893,56668,81.1,56470,80.8,99.7,18577,26.6,32.8,37893,54.2,66.9,198,0.3,0.3,8550,12.2,3797,5.4,269,0.4,569,0.8
Citywide,Citywide,,All Students,2018,4 year June,70912,57731,81.4,57503,81.1,99.6,24549,34.6,42.5,32954,46.5,57.1,228,0.3,0.4,8426,11.9,3856,5.4,322,0.5,547,0.8
